id,strike_price,maturity_date,call_put_type,exercise_type,market_price
V001,33,2018-11-16,1,1,1.889999986
V002,33.5,2018-11-16,1,1,1.539999962
V003,34,2018-11-16,1,1,1.279999971
V004,34.5,2018-11-16,1,1,1.029999971
V005,35,2018-11-16,1,1,0.829999983
V006,32,2018-12-21,1,1,3.50999999
V007,33,2018-12-21,1,1,2.900000095
V008,34,2018-12-21,1,1,2.380000114
V009,35,2018-12-21,1,1,1.899999976
V010,36,2018-12-21,1,1,1.49000001
V011,32,2019-01-18,1,1,3.930000067
V012,33,2019-01-18,1,1,3.349999905
V013,34,2019-01-18,1,1,2.880000114
V014,35,2019-01-18,1,1,2.460000038
V015,36,2019-01-18,1,1,2.019999981
V016,32,2019-03-15,1,1,5.199999809
V017,33,2019-03-15,1,1,4.75
V018,34,2019-03-15,1,1,4.400000095
V019,35,2019-03-15,1,1,3.900000095
V020,36,2019-03-15,1,1,3.380000114
V021,32,2019-06-21,1,1,7.099999905
V022,33,2019-06-21,1,1,6.579999924
V023,34,2019-06-21,1,1,5.75
V024,35,2019-06-21,1,1,5.300000191
V025,36,2019-06-21,1,1,4.849999905
V026,30,2020-01-17,1,1,9.75
V027,32,2020-01-17,1,1,9.109999657
V028,35,2020-01-17,1,1,7.5
V029,37,2020-01-17,1,1,7.150000095
V030,40,2020-01-17,1,1,5.630000114
V031,30,2021-01-15,1,1,12.85999966
V032,32,2021-01-15,1,1,11.14999962
V033,35,2021-01-15,1,1,10.05000019
V034,37,2021-01-15,1,1,9.93999958
V035,40,2021-01-15,1,1,8.649999619
V036,33,2018-11-16,2,1,0.819999993
V037,33.5,2018-11-16,2,1,1.059999943
V038,34,2018-11-16,2,1,1.24000001
V039,34.5,2018-11-16,2,1,1.5
V040,35,2018-11-16,2,1,1.789999962
V041,32,2018-12-21,2,1,1.389999986
V042,33,2018-12-21,2,1,1.779999971
V043,34,2018-12-21,2,1,2.220000029
V044,35,2018-12-21,2,1,2.880000114
V045,36,2018-12-21,2,1,3.349999905
V046,32,2019-01-18,2,1,2
V047,33,2019-01-18,2,1,2.359999895
V048,34,2019-01-18,2,1,2.720000029
V049,35,2019-01-18,2,1,3.349999905
V050,36,2019-01-18,2,1,3.950000048
V051,32,2019-03-15,2,1,3.200000048
V052,33,2019-03-15,2,1,3.829999924
V053,34,2019-03-15,2,1,4.25
V054,35,2019-03-15,2,1,4.690000057
V055,36,2019-03-15,2,1,5.400000095
V056,32,2019-06-21,2,1,3.950000048
V057,33,2019-06-21,2,1,4.880000114
V058,34,2019-06-21,2,1,5.269999981
V059,35,2019-06-21,2,1,5.769999981
V060,36,2019-06-21,2,1,6.699999809
V061,30,2020-01-17,2,1,4.880000114
V062,32,2020-01-17,2,1,5.650000095
V063,35,2020-01-17,2,1,7.269999981
V064,37,2020-01-17,2,1,8.199999809
V065,40,2020-01-17,2,1,10.39999962
V066,30,2021-01-15,2,1,6.150000095
V067,32,2021-01-15,2,1,7.300000191
V068,35,2021-01-15,2,1,8.390000343
V069,37,2021-01-15,2,1,10.19999981
V070,40,2021-01-15,2,1,15
